Year,Service,Value
2004.0,Branches of commercial banks,90.9
2005.0,Branches of commercial banks,86.18
2006.0,Branches of commercial banks,77.58
2007.0,Branches of commercial banks,73.31
2008.0,Branches of commercial banks,69.68
2009.0,Branches of commercial banks,60.84
2010.0,Branches of commercial banks,57.56
2011.0,Branches of commercial banks,52.21
2012.0,Branches of commercial banks,47.15
2013.0,Branches of commercial banks,43.14
2014.0,Branches of commercial banks,40.3
2015.0,Branches of commercial banks,36.42
2016.0,Branches of commercial banks,35.47
2017.0,Branches of commercial banks,34.38
2018.0,Branches of commercial banks,31.21
2019.0,Branches of commercial banks,30.08
2020.0,Branches of commercial banks,27.86
2021.0,Branches of commercial banks,26.39
2022.0,Branches of commercial banks,25.38
2004.0,Number of Automated Teller Machines (ATMs),105.9
2005.0,Number of Automated Teller Machines (ATMs),111.29
2006.0,Number of Automated Teller Machines (ATMs),106.25
2007.0,Number of Automated Teller Machines (ATMs),106.48
2008.0,Number of Automated Teller Machines (ATMs),101.71
2009.0,Number of Automated Teller Machines (ATMs),79.14
2010.0,Number of Automated Teller Machines (ATMs),81.38
2011.0,Number of Automated Teller Machines (ATMs),75.94
2012.0,Number of Automated Teller Machines (ATMs),73.87
2013.0,Number of Automated Teller Machines (ATMs),76.18
2014.0,Number of Automated Teller Machines (ATMs),78.69
2015.0,Number of Automated Teller Machines (ATMs),73.59
2016.0,Number of Automated Teller Machines (ATMs),88.85
2017.0,Number of Automated Teller Machines (ATMs),88.3
2018.0,Number of Automated Teller Machines (ATMs),85.57
2019.0,Number of Automated Teller Machines (ATMs),77.24
2020.0,Number of Automated Teller Machines (ATMs),72.51
2021.0,Number of Automated Teller Machines (ATMs),69.94
2022.0,Number of Automated Teller Machines (ATMs),66.5
,,
